type,subtype,date,site,location,city,region,accident_type
Injury & Riddor,B - RIDDOR Specified Injury,20/07/2015 13:00,Affinity Water – Maintenance & Repair (NIMA),In depot / yard,Luton,East,"E-Injured whilst handling, lifting or carrying"
Injury & Riddor,B - RIDDOR Specified Injury,20/07/2015 13:00,Affinity Water – Maintenance & Repair (NIMA),In depot / yard,Luton,East,"E-Injured whilst handling, lifting or carrying"
Injury & Riddor,B - RIDDOR Specified Injury,20/07/2015 13:00,Affinity Water – Maintenance & Repair (NIMA),In depot / yard,Luton,East,"E-Injured whilst handling, lifting or carrying"
Injury & Riddor,E - No Lost Time Personal Injury,28/07/2016 00:00,Affinity Water – Maintenance & Repair (NIMA),General,Luton,East,G-Trapped by something collapsing or overturning
Injury & Riddor,C - RIDDOR Over 7 Days,22/12/2016 09:05,Affinity Water – Maintenance & Repair (NIMA),On highway,Luton,East,"B-Struck by moving, flying or falling object"
Injury & Riddor,E - No Lost Time Personal Injury,02/04/2015 10:00,Affinity Water – Maintenance & Repair (NIMA),Outdoors (not highway or railway),Luton,East,D-Struck against something fixed or stationary
Injury & Riddor,E - No Lost Time Personal Injury,02/04/2015 10:00,Affinity Water – Maintenance & Repair (NIMA),Outdoors (not highway or railway),Luton,East,D-Struck against something fixed or stationary
Injury & Riddor,E - No Lost Time Personal Injury,23/07/2015 17:00,Affinity Water – Maintenance & Repair (NIMA),Outdoors (not highway or railway),Luton,East,"E-Injured whilst handling, lifting or carrying"
Injury & Riddor,E - No Lost Time Personal Injury,05/07/2016 00:00,Affinity Water – Maintenance & Repair (NIMA),Outdoors (not highway or railway),Luton,East,"F-Slipped, tripped or fell on the same level"
Injury & Riddor,R - Non Work Related Incident,21/09/2016 08:10,Affinity Water – Maintenance & Repair (NIMA),On highway,Luton,East,"F-Slipped, tripped or fell on the same level"
Injury & Riddor,R - Non Work Related Incident,26/10/2015 17:00,Affinity Water – Maintenance & Repair (NIMA),General,Luton,East,"F-Slipped, tripped or fell on the same level"
Injury & Riddor,E - No Lost Time Personal Injury,27/04/2016 12:30,Affinity Water – Maintenance & Repair (NIMA),In depot / yard,Luton,East,"E-Injured whilst handling, lifting or carrying"
Injury & Riddor,E - No Lost Time Personal Injury,10/11/2015 10:20,Affinity Water – Maintenance & Repair (NIMA),General,Luton,East,"E-Injured whilst handling, lifting or carrying"
Injury & Riddor,E - No Lost Time Personal Injury,11/02/2016 08:23,Affinity Water – Maintenance & Repair (NIMA),In depot / yard,Luton,East,"F-Slipped, tripped or fell on the same level"
Injury & Riddor,E - No Lost Time Personal Injury,25/06/2015 13:15,Affinity Water – Maintenance & Repair (NIMA),On highway,Luton,East,P-Other
Injury & Riddor,E - No Lost Time Personal Injury,30/01/2015 10:50,Affinity Water – Maintenance & Repair (NIMA),Outdoors (not highway or railway),Luton,East,A-Contact with moving machinery
Injury & Riddor,E - No Lost Time Personal Injury,30/01/2015 10:50,Affinity Water – Maintenance & Repair (NIMA),Outdoors (not highway or railway),Luton,East,A-Contact with moving machinery
Injury & Riddor,E - No Lost Time Personal Injury,06/02/2015 00:00,Affinity Water – Maintenance & Repair (NIMA),On highway,Luton,East,"B-Struck by moving, flying or falling object"
Injury & Riddor,E - No Lost Time Personal Injury,06/02/2015 00:00,Affinity Water – Maintenance & Repair (NIMA),On highway,Luton,East,"B-Struck by moving, flying or falling object"
Injury & Riddor,E - No Lost Time Personal Injury,06/02/2015 00:00,Affinity Water – Maintenance & Repair (NIMA),On highway,Luton,East,"B-Struck by moving, flying or falling object"
Injury & Riddor,E - No Lost Time Personal Injury,14/04/2016 14:15,Affinity Water – Maintenance & Repair (NIMA),General,Luton,East,"B-Struck by moving, flying or falling object"
Injury & Riddor,D - Lost Time (3 days or less),08/11/2016 10:00,Affinity Water – Maintenance & Repair (NIMA),General,Luton,East,"F-Slipped, tripped or fell on the same level"
Injury & Riddor,E - No Lost Time Personal Injury,28/04/2016 00:00,Affinity Water – Maintenance & Repair (NIMA),In depot / yard,Luton,East,"E-Injured whilst handling, lifting or carrying"
Injury & Riddor,H – RIDDOR reportable (other),20/08/2016 04:00,Affinity Water – Maintenance & Repair (NIMA),On highway,Luton,East,"F-Slipped, tripped or fell on the same level"
Injury & Riddor,H – RIDDOR reportable (other),20/08/2016 04:00,Affinity Water – Maintenance & Repair (NIMA),On highway,Luton,East,"F-Slipped, tripped or fell on the same level"
Injury & Riddor,E - No Lost Time Personal Injury,24/02/2015 08:30,Affinity Water – Maintenance & Repair (NIMA),Outdoors (not highway or railway),Luton,East,"B-Struck by moving, flying or falling object"
Injury & Riddor,E - No Lost Time Personal Injury,24/02/2015 08:30,Affinity Water – Maintenance & Repair (NIMA),Outdoors (not highway or railway),Luton,East,"B-Struck by moving, flying or falling object"
Injury & Riddor,E - No Lost Time Personal Injury,24/02/2015 08:30,Affinity Water – Maintenance & Repair (NIMA),Outdoors (not highway or railway),Luton,East,"B-Struck by moving, flying or falling object"
Injury & Riddor,E - No Lost Time Personal Injury,24/02/2015 08:30,Affinity Water – Maintenance & Repair (NIMA),Outdoors (not highway or railway),Luton,East,"B-Struck by moving, flying or falling object"
Injury & Riddor,E - No Lost Time Personal Injury,10/09/2015 11:00,Affinity Water – Maintenance & Repair (NIMA),Outdoors (not highway or railway),Luton,East,P-Other
Injury & Riddor,D - Lost Time (3 days or less),18/01/2016 16:00,Affinity Water - South Capital Projects,On highway,City of London,London,P-Other
Injury & Riddor,D - Lost Time (3 days or less),18/01/2016 16:00,Affinity Water - South Capital Projects,On highway,City of London,London,P-Other
Injury & Riddor,E - No Lost Time Personal Injury,13/02/2015 13:30,Affinity Water - South Capital Projects,Outdoors (not highway or railway),City of London,London,"E-Injured whilst handling, lifting or carrying"
Injury & Riddor,E - No Lost Time Personal Injury,07/03/2016 00:00,Affinity Water - Trunk Mains,On highway,Hertfordshire,South,"F-Slipped, tripped or fell on the same level"
Injury & Riddor,E - No Lost Time Personal Injury,27/07/2016 00:00,Affinity Water – Universal Metering (NIMA),Member of public's property,Hertfordshire,South,N-Injured by animal
Injury & Riddor,E - No Lost Time Personal Injury,18/07/2016 11:00,Affinity Water – Universal Metering (NIMA),General,Hertfordshire,South,"E-Injured whilst handling, lifting or carrying"
Injury & Riddor,E - No Lost Time Personal Injury,22/06/2016 10:00,Affinity Water – Universal Metering (NIMA),On highway,Hertfordshire,South,"F-Slipped, tripped or fell on the same level"
Injury & Riddor,R - Non Work Related Incident,17/12/2015 17:00,Affinity Water – Universal Metering (NIMA),On highway,Hertfordshire,South,
Injury & Riddor,D - Lost Time (3 days or less),29/11/2016 00:00,Affinity Water – Universal Metering (NIMA),Outdoors (not highway or railway),Hertfordshire,South,"E-Injured whilst handling, lifting or carrying"
Injury & Riddor,E - No Lost Time Personal Injury,14/10/2016 09:00,Affinity Water – Universal Metering (NIMA),On highway,Luton,East,A-Contact with moving machinery
Injury & Riddor,E - No Lost Time Personal Injury,14/10/2016 09:00,Affinity Water – Universal Metering (NIMA),On highway,Luton,East,A-Contact with moving machinery
Injury & Riddor,E - No Lost Time Personal Injury,14/10/2016 09:00,Affinity Water – Universal Metering (NIMA),On highway,Luton,East,A-Contact with moving machinery
Injury & Riddor,E - No Lost Time Personal Injury,31/08/2016 00:00,Affinity Water – Universal Metering (NIMA),General,Luton,East,D-Struck against something fixed or stationary
Injury & Riddor,E - No Lost Time Personal Injury,13/09/2016 11:50,Affinity Water – Universal Metering (NIMA),Outdoors (not highway or railway),Luton,East,N-Injured by animal
Injury & Riddor,E - No Lost Time Personal Injury,28/01/2016 10:30,Affinity Water – Universal Metering (NIMA),General,Luton,East,
Injury & Riddor,C - Lost Time 4 to 7 Days,12/03/2016 00:00,Affinity Water – Universal Metering (NIMA),On highway,Luton,East,"E-Injured whilst handling, lifting or carrying"
Injury & Riddor,C - Lost Time 4 to 7 Days,12/03/2016 00:00,Affinity Water – Universal Metering (NIMA),On highway,Luton,East,"E-Injured whilst handling, lifting or carrying"
Injury & Riddor,E - No Lost Time Personal Injury,15/06/2016 00:00,Albany Place - CG&U Only,In office / building,City of London,London,"B-Struck by moving, flying or falling object"
Injury & Riddor,E - No Lost Time Personal Injury,27/09/2013 15:45,ALC Abingdon,In workshop / fabrication area,Abingdon,South East,
Injury & Riddor,E - No Lost Time Personal Injury,27/09/2013 15:45,ALC Abingdon,In workshop / fabrication area,Abingdon,South East,
Injury & Riddor,E - No Lost Time Personal Injury,27/09/2013 15:45,ALC Abingdon,In workshop / fabrication area,Abingdon,South East,
Injury & Riddor,E - No Lost Time Personal Injury,27/09/2013 15:45,ALC Abingdon,In workshop / fabrication area,Abingdon,South East,
Injury & Riddor,E - No Lost Time Personal Injury,13/01/2016 00:00,ALC Abingdon,In depot / yard,Abingdon,South East,"F-Slipped, tripped or fell on the same level"
Injury & Riddor,E - No Lost Time Personal Injury,06/11/2013 09:00,ALC Antrim,In depot / yard,Antrim,Northern Ireland,
Injury & Riddor,D - Lost Time (3 days or less),02/07/2013 09:15,ALC Bicester,In office / building,Bicester,South East,"B-Struck by moving, flying or falling object"
Injury & Riddor,D - Lost Time (3 days or less),02/07/2013 09:15,ALC Bicester,In office / building,Bicester,South East,"B-Struck by moving, flying or falling object"
Injury & Riddor,D - Lost Time (3 days or less),02/07/2013 09:15,ALC Bicester,In office / building,Bicester,South East,"B-Struck by moving, flying or falling object"
Injury & Riddor,D - Lost Time (3 days or less),02/07/2013 09:15,ALC Bicester,In office / building,Bicester,South East,"B-Struck by moving, flying or falling object"
Injury & Riddor,D - Lost Time (3 days or less),02/07/2013 09:15,ALC Bicester,In office / building,Bicester,South East,"B-Struck by moving, flying or falling object"
Injury & Riddor,E - No Lost Time Personal Injury,11/08/2016 00:00,ALC Bicester,In office / building,Bicester,South East,"E-Injured whilst handling, lifting or carrying"
Injury & Riddor,E - No Lost Time Personal Injury,09/04/2013 13:00,ALC Bicester,General,Bicester,South East,
Injury & Riddor,R - Non Work Related Incident,09/08/2013 08:45,ALC Bicester,Outdoors (not highway or railway),Bicester,South East,N-Injured by animal
Injury & Riddor,E - No Lost Time Personal Injury,11/03/2015 00:00,ALC Bicester,In office / building,Bicester,South East,P-Other
Injury & Riddor,E - No Lost Time Personal Injury,22/12/2016 00:00,ALC Bicester,In office / building,Bicester,South East,"B-Struck by moving, flying or falling object"
Injury & Riddor,E - No Lost Time Personal Injury,15/12/2015 00:00,ALC Chatham,In depot / yard,Chatham,South East,"E-Injured whilst handling, lifting or carrying"
Injury & Riddor,E - No Lost Time Personal Injury,24/06/2015 13:30,ALC Chatham,In workshop / fabrication area,Chatham,South East,
Injury & Riddor,E - No Lost Time Personal Injury,24/10/2016 11:00,ALC Chatham,In workshop / fabrication area,Chatham,South East,"E-Injured whilst handling, lifting or carrying"
Injury & Riddor,E - No Lost Time Personal Injury,28/05/2013 10:40,ALC Chatham,In office / building,Chatham,South East,
Injury & Riddor,E - No Lost Time Personal Injury,19/02/2016 14:00,ALC Chatham,General,Chatham,South East,
Injury & Riddor,E - No Lost Time Personal Injury,05/03/2013 14:30,ALC Chatham,General,Chatham,South East,
Injury & Riddor,E - No Lost Time Personal Injury,26/02/2013 14:45,ALC Chatham,General,Chatham,South East,D-Struck against something fixed or stationary
Injury & Riddor,E - No Lost Time Personal Injury,21/01/2013 11:00,ALC Chatham,General,Chatham,South East,
Injury & Riddor,E - No Lost Time Personal Injury,05/03/2013 15:40,ALC Chatham,General,Chatham,South East,
Injury & Riddor,E - No Lost Time Personal Injury,15/07/2015 09:50,ALC Chivenor,In depot / yard,Devon,South East,C-Struck by a moving vehicle
Injury & Riddor,E - No Lost Time Personal Injury,19/01/2015 00:00,ALC Chivenor,In depot / yard,Devon,South East,"E-Injured whilst handling, lifting or carrying"
Injury & Riddor,C - Lost Time 4 to 7 Days,23/04/2014 16:30,ALC Larkhill,In workshop / fabrication area,Larkhill,South East,
Injury & Riddor,C - Lost Time 4 to 7 Days,23/04/2014 16:30,ALC Larkhill,In workshop / fabrication area,Larkhill,South East,
Injury & Riddor,C - Lost Time 4 to 7 Days,23/04/2014 16:30,ALC Larkhill,In workshop / fabrication area,Larkhill,South East,
Injury & Riddor,C - Lost Time 4 to 7 Days,23/04/2014 16:30,ALC Larkhill,In workshop / fabrication area,Larkhill,South East,
Injury & Riddor,C - Lost Time 4 to 7 Days,23/04/2014 16:30,ALC Larkhill,In workshop / fabrication area,Larkhill,South East,
Injury & Riddor,C - Lost Time 4 to 7 Days,23/04/2014 16:30,ALC Larkhill,In workshop / fabrication area,Larkhill,South East,
Injury & Riddor,C - Lost Time 4 to 7 Days,23/04/2014 16:30,ALC Larkhill,In workshop / fabrication area,Larkhill,South East,
Injury & Riddor,C - Lost Time 4 to 7 Days,23/04/2014 16:30,ALC Larkhill,In workshop / fabrication area,Larkhill,South East,
Injury & Riddor,C - Lost Time 4 to 7 Days,30/04/2014 14:00,ALC Larkhill,In workshop / fabrication area,Larkhill,South East,
Injury & Riddor,C - Lost Time 4 to 7 Days,30/04/2014 14:00,ALC Larkhill,In workshop / fabrication area,Larkhill,South East,
Injury & Riddor,C - Lost Time 4 to 7 Days,30/04/2014 14:00,ALC Larkhill,In workshop / fabrication area,Larkhill,South East,
Injury & Riddor,C - Lost Time 4 to 7 Days,30/04/2014 14:00,ALC Larkhill,In workshop / fabrication area,Larkhill,South East,
Injury & Riddor,C - Lost Time 4 to 7 Days,30/04/2014 14:00,ALC Larkhill,In workshop / fabrication area,Larkhill,South East,
Injury & Riddor,C - Lost Time 4 to 7 Days,30/04/2014 14:00,ALC Larkhill,In workshop / fabrication area,Larkhill,South East,
Injury & Riddor,E - No Lost Time Personal Injury,19/01/2015 00:00,ALC Larkhill,In workshop / fabrication area,Larkhill,South East,P-Other
Injury & Riddor,E - No Lost Time Personal Injury,13/01/2016 14:00,ALC Larkhill,In workshop / fabrication area,Larkhill,South East,"E-Injured whilst handling, lifting or carrying"
Injury & Riddor,E - No Lost Time Personal Injury,15/10/2014 00:00,ALC Larkhill,In depot / yard,Larkhill,South East,D-Struck against something fixed or stationary
Injury & Riddor,E - No Lost Time Personal Injury,17/06/2015 00:00,ALC Larkhill,In workshop / fabrication area,Larkhill,South East,D-Struck against something fixed or stationary
Injury & Riddor,R - Non Work Related Incident,22/06/2015 14:45,ALC Ripon,In depot / yard,Ripon,Yorkshire and the Humbler,G-Trapped by something collapsing or overturning
Injury & Riddor,E - No Lost Time Personal Injury,03/08/2015 00:00,ALC Ripon,In workshop / fabrication area,Ripon,Yorkshire and the Humbler,G-Trapped by something collapsing or overturning
Injury & Riddor,E - No Lost Time Personal Injury,08/08/2014 00:00,ALC Scotland,In workshop / fabrication area,Fife,Scotland,"B-Struck by moving, flying or falling object"
Injury & Riddor,R - Non Work Related Incident,05/06/2015 06:34,ALC Stafford,Outdoors (not highway or railway),Stafford,West Midlands,P-Other
Injury & Riddor,E - No Lost Time Personal Injury,11/12/2013 15:00,ALC Stafford,In workshop / fabrication area,Stafford,West Midlands,
Injury & Riddor,E - No Lost Time Personal Injury,11/12/2013 15:00,ALC Stafford,In workshop / fabrication area,Stafford,West Midlands,
Injury & Riddor,E - No Lost Time Personal Injury,26/08/2014 00:00,ALC Stafford,In workshop / fabrication area,Stafford,West Midlands,"E-Injured whilst handling, lifting or carrying"
Injury & Riddor,E - No Lost Time Personal Injury,22/04/2013 14:23,ALC Stafford,General,Nottingham,East Midlands,
Injury & Riddor,R - Non Work Related Incident,04/03/2013 15:30,All Saints Secondary School,In office / building,Glasgow,Scotland,"E-Injured whilst handling, lifting or carrying"
Injury & Riddor,E - No Lost Time Personal Injury,08/01/2016 15:00,All Saints Secondary School,General,Glasgow,Scotland,"E-Injured whilst handling, lifting or carrying"
